n_tokens_title,n_tokens_content,n_non_stop_words,n_non_stop_unique_tokens,num_hrefs,num_imgs,num_videos,data_channel_is_lifestyle,data_channel_is_socmed,data_channel_is_tech,kw_min_min,kw_avg_min,kw_max_max,kw_avg_avg,self_reference_avg_sharess,weekday_is_monday,weekday_is_friday,weekday_is_saturday,weekday_is_sunday,is_weekend,LDA_00,LDA_01,LDA_04,global_subjectivity,global_rate_negative_words,rate_positive_words,min_positive_polarity,max_positive_polarity,min_negative_polarity,max_negative_polarity,title_subjectivity,title_sentiment_polarity,abs_title_subjectivity,popularity
0.380952381,0.085319802,0.000959693,0.001058845,0.0625,0.1015625,0.010989011,0,0,1,0.013227513,0.006154729,1,0.085521694,0.018024428,0,0,0,0,0,0.043419098,0.043207994,0.672797289,0.446279282,0.052353875,0.75862069,0.1,0.6,0.6875,0.9,0,0.5,1,1
0.285714286,0.072102903,0.000959693,0.001039172,0.029605263,0.0078125,0,0,0,0,0.013227513,0.001214135,1,0.045402117,0,0,0,0,0,0,0.030824589,0.030859742,0.030817644,0.353217172,0.123901316,0.533333333,0.0625,0.6,0.4,0.9,0,0.5,1,0
0.285714286,0.015577059,0.000959693,0.001338661,0.006578947,0,0.010989011,0,0,1,0.013227513,0.003998472,1,0.041230431,0.001019803,0,0,0,0,0,0.035968956,0.521798589,0.449551596,0.463333333,0.122895624,0.5,0.1,0.7,0.8,0.9,0,0.5,1,0
0.380952381,0.173471796,0.000959693,0.001101193,0.019736842,0.0078125,0,0,0,0,0.013227513,0.00501998,1,0.047026013,0,0,0,0,0,0,0.035986551,0.478213125,0.035951867,0.451186735,0.150818843,0.62037037,0.033333333,1,0,0.95,0.407070707,0.536616162,0.185858586,0
0.238095238,0.031154118,0.000959693,0.001031783,0.019736842,0,0,0,0,0,0.013227513,0.007404146,1,0.055345126,0,0,0,0,0,0,0.021575957,0.35193426,0.021742797,0.521103896,0.04096521,0.888888889,0.05,1,0.75,0.95,0,0.5,1,0
0.380952381,0.075525136,0.000959693,0.001012048,0.101973684,0.0078125,0,0,0,0,0.013227513,0.009346168,1,0.056343038,0.006403415,0,0,0,0,0,0.883015553,0.131129148,0.02157167,0.620452742,0.143634259,0.711864407,0.1,1,0,0.975,0.3,0.25,0.4,1
0.428571429,0.030328062,0.000959693,0.001018711,0.029605263,0,0,0,0,1,0.013227513,0.021706549,1,0.022968915,0.046721214,0,0,0,0,0,0.376792049,0.024015914,0.265789613,0.281192022,0.021040498,0.75,0.136363636,0.4,0.928571429,0.928571429,0,0.5,1,0
0.333333333,0.072338919,0.000959693,0.00103939,0.016447368,0.0078125,0,0,0,0,0.013227513,0.00817206,1,0.071830353,0.003992253,0,0,0,0,0,0.023974554,0.024003881,0.492191695,0.412841945,0.061748537,0.75862069,0.1,1,0.6,0.928571429,0.321428571,0.553571429,0.357142858,1
0.380952381,0.04661317,0.000959693,0.001052632,0.026315789,0.0078125,0,0,0,1,0.013227513,0.004219452,1,0.05299362,0.001304399,0,0,0,0,0,0.026977418,0.02700049,0.970659515,0.462020202,0.013689641,0.95,0.0625,0.6,0.875,0.875,0.75,0.75,0.5,0
0.285714286,0.031862167,0.000959693,0.001245871,0.016447368,0,0,0,0,1,0.013227513,0.008116023,1,0.057096009,0.004861852,0,0,0,0,0,0.035962855,0.036031723,0.749664306,0.331253529,0.100137177,0.545454545,0.05,0.4,0.708333333,0.975,0.333333333,0.625,0.333333334,1
